item_id,timestamp,device_type,device_id,user_ip,review_title,review_text,review_stars
793i,2020-05-31 04:41:41,device10,10d,192.25.144.80,review4,good,3
810i,2020-01-19 15:16:20,device12,12d,91.164.252.53,review6,awesome,Review does not exist!
898i,2020-02-25 07:41:29,device5,5d,192.175.53.144,review2,,Review does not exist!
827i,2020-03-26 04:15:52,device4,4d,198.1.232.127,review2,awful,Review does not exist!
981i,2020-05-14 00:30:47,device12,12d,192.31.216.230,review9,awful,Review does not exist!
573i,2020-01-22 02:02:46,device12,12d,198.3.166.221,,very good,4
428i,2020-04-17 06:02:25,device10,10d,192.0.27.231,review7,awesome,Review does not exist!
1076i,2020-02-04 15:30:02,device14,14d,192.52.199.7,review3,,Review does not exist!
1130i,2019-12-29 00:44:27,device5,5d,192.21.158.32,review7,very good,4
1250i,2020-01-09 13:20:48,device8,8d,192.175.165.238,review1,very bad,1
828i,2020-01-20 21:46:39,device16,16d,198.9.36.254,review4,awful,Review does not exist!
243i,2020-04-06 00:53:40,device20,20d,198.30.176.88,review3,bad,2
1197i,2020-06-04 08:50:30,device20,20d,207.140.33.44,review2,,Review does not exist!
264i,2020-04-07 11:21:01,device4,4d,192.209.27.245,review10,very good,4
1174i,2020-02-06 21:43:27,device13,13d,198.16.137.214,,awful,Review does not exist!
1097i,2020-03-23 01:49:31,device2,2d,169.143.217.6,review3,very bad,1
123i,2020-03-27 03:50:43,device1,1d,100.233.28.5,review1,awful,Review does not exist!
433i,2020-02-02 23:05:34,device2,2d,192.232.218.12,review1,bad,2
659i,2020-05-23 10:29:50,device3,3d,1.127.186.153,review4,,Review does not exist!
858i,2020-06-03 11:16:36,device4,4d,192.40.248.65,review5,great,5
520i,2020-05-29 22:28:46,device13,13d,192.0.9.109,review8,good,3
176i,2020-01-04 00:56:05,device7,7d,198.51.99.7,review5,,Review does not exist!
922i,2020-04-20 00:37:03,device17,17d,203.5.1.138,review1,super,Review does not exist!
143i,2020-04-06 23:23:21,device11,11d,203.2.201.253,review10,super,Review does not exist!
428i,2020-01-19 15:10:17,device15,15d,198.51.96.199,review1,awful,Review does not exist!
306i,2020-02-28 00:59:31,device2,2d,192.26.84.59,review7,awful,Review does not exist!
747i,2020-06-09 04:37:40,device7,7d,6.249.231.194,review3,bad,2
806i,2020-03-23 12:27:12,device3,3d,108.251.110.213,review3,awesome,Review does not exist!
797i,2020-03-02 10:50:04,device19,19d,192.0.230.109,,very good,4
659i,2019-12-22 07:19:39,device16,16d,198.48.20.97,review4,bad,2
1041i,2019-12-28 21:40:01,device11,11d,198.178.217.16,review7,good,3
1261i,2020-03-20 08:45:44,device17,17d,203.84.247.35,review5,good,3
1156i,2020-05-01 09:20:11,device14,14d,198.51.115.112,review6,super,Review does not exist!
958i,2020-03-22 20:10:29,device9,9d,192.30.8.235,review10,good,3
1235i,2019-11-16 11:04:22,device1,1d,203.76.209.6,review10,super,Review does not exist!
294i,2019-12-03 07:57:07,device9,9d,198.51.102.156,review10,super,Review does not exist!
144i,2020-05-08 22:10:21,device2,2d,168.254.29.76,review3,great,5
526i,2020-04-14 02:25:43,device11,11d,169.231.7.148,review4,awesome,Review does not exist!
902i,2020-04-22 04:42:57,device14,14d,192.0.3.9,review5,very good,4
1251i,2019-12-26 18:45:36,device1,1d,198.51.10.108,review10,good,3
41i,2020-06-06 13:17:22,device8,8d,200.250.164.59,review7,awful,Review does not exist!
1029i,2020-05-22 19:49:30,device14,14d,192.88.93.211,review1,bad,2
518i,2020-04-15 09:11:27,device16,16d,192.0.16.197,review7,very bad,1
