item_id,title,description,category
1073i,title267,description355,category42
543i,title687,description1070,category29
365i,title620,description789,category11
510i,title487,description119,category27
132i,title993,description585,category21
576i,title431,description272,category12
34i,title601,description143,category19
671i,title358,description707,category28
346i,title693,description330,category24
783i,title221,description396,category31
1060i,title182,description747,category31
1141i,title620,description477,category26
262i,title1245,description901,category25
155i,title986,description371,category37
455i,title994,description1271,category7
1275i,title568,description1117,category41
786i,title427,description912,category43
411i,title167,description524,category49
1034i,title75,description632,category29
1254i,title712,description1159,category8
699i,title31,description1010,category18
890i,title50,description709,category25
1235i,title849,description1002,category20
553i,title897,description300,category15
1097i,title508,description357,category5
1120i,title50,description845,category37
181i,title1203,description1296,category16
543i,title1021,description932,category23
1113i,title1230,description78,category3
337i,title1179,description396,category14
113i,title213,description58,category14
604i,title1160,description1029,category18
314i,title773,description1044,category5
844i,title280,description491,category16
231i,title156,description955,category27
712i,title68,description1169,category5
632i,title1058,description201,category47
20i,title1106,description145,category9
40i,title586,description642,category32
969i,title1046,description609,category2
1109i,title1169,description445,category25
918i,title696,description51,category47
1193i,title899,description435,category11
1046i,title677,description154,category49
1224i,title355,description734,category40
346i,title607,description661,category2
709i,title1225,description1240,category29
325i,title585,description1111,category16
871i,title1233,description868,category47
445i,title459,description991,category43
596i,title954,description297,category40
664i,title8,description266,category29
186i,title427,description243,category48
1011i,title857,description285,category30
497i,title589,description1161,category26
1274i,title652,description53,category2
494i,title800,description922,category3
800i,title20,description366,category6
153i,title617,description868,category15
365i,title1297,description632,category31
639i,title971,description725,category16
531i,title953,description54,category34
1025i,title708,description1006,category36
434i,title1131,description788,category10
388i,title1075,description452,category25
260i,title750,description402,category22
665i,title231,description116,category38
1041i,title314,description794,category49
1079i,title841,description546,category8
952i,title182,description969,category11
1130i,title1210,description953,category22
561i,title645,description171,category6
659i,title421,description390,category32
408i,title242,description555,category23
750i,title954,description1170,category1
832i,title796,description963,category41
821i,title710,description295,category37
624i,title574,description1263,category19
378i,title883,description456,category15
352i,title1235,description61,category17
192i,title471,description508,category28
1194i,title235,description1060,category40
955i,title1101,description1172,category46
666i,title279,description674,category11
381i,title823,description741,category25
1079i,title192,description438,category37
1282i,title100,description313,category2
276i,title390,description323,category38
794i,title447,description144,category29
1122i,title679,description802,category17
773i,title1236,description894,category24
301i,title1253,description538,category26
987i,title17,description1116,category27
859i,title34,description1082,category44
1063i,title1063,description605,category14
294i,title1015,description389,category2
307i,title1065,description63,category25
928i,title360,description996,category5
360i,title1213,description770,category28
498i,title519,description662,category43
423i,title614,description1242,category20
312i,title717,description391,category30
328i,title293,description484,category16
1099i,title491,description1146,category45
313i,title778,description1155,category35
216i,title908,description257,category28
588i,title263,description953,category34
832i,title1159,description1273,category23
273i,title1256,description466,category27
952i,title1076,description545,category24
25i,title57,description973,category8
884i,title551,description589,category41
168i,title590,description299,category36
348i,title135,description753,category9
457i,title807,description290,category35
1211i,title1284,description34,category29
954i,title589,description1142,category38
1042i,title1170,description63,category47
656i,title62,description521,category21
714i,title1274,description248,category2
847i,title121,description1222,category11
832i,title934,description320,category18
866i,title997,description701,category2
558i,title1085,description217,category23
691i,title737,description135,category21
440i,title281,description178,category42
361i,title1130,description623,category28
71i,title38,description44,category21
682i,title1031,description731,category17
63i,title729,description176,category46
1157i,title1131,description1141,category30
1124i,title631,description577,category34
319i,title891,description522,category22
1260i,title315,description661,category15
1138i,title1206,description620,category36
717i,title410,description917,category24
667i,title330,description140,category48
235i,title406,description404,category24
571i,title360,description624,category37
65i,title331,description1201,category31
813i,title1232,description261,category34
759i,title1044,description991,category43
918i,title962,description231,category4
752i,title102,description647,category29
232i,title754,description941,category12
317i,title1213,description120,category15
949i,title321,description328,category37
1026i,title1071,description1289,category41
930i,title1099,description1169,category43
95i,title516,description772,category22
146i,title581,description1138,category16
621i,title491,description556,category4
785i,title540,description576,category17
469i,title397,description39,category29
1061i,title33,description826,category2
22i,title1002,description221,category25
990i,title659,description47,category24
204i,title860,description1289,category14
1193i,title97,description1245,category32
934i,title1207,description577,category18
490i,title688,description507,category41
1096i,title1006,description435,category7
204i,title103,description1121,category22
521i,title1192,description1283,category26
439i,title486,description274,category19
1057i,title519,description381,category13
475i,title1259,description20,category32
1199i,title318,description930,category7
932i,title971,description798,category47
472i,title104,description1203,category26
513i,title621,description1148,category2
1086i,title449,description1123,category41
911i,title312,description1263,category9
602i,title165,description587,category42
1131i,title1215,description1299,category24
224i,title1046,description333,category12
162i,title1281,description151,category21
728i,title773,description429,category2
629i,title1276,description1138,category17
637i,title1075,description1102,category38
1158i,title533,description1110,category28
1069i,title588,description956,category32
752i,title535,description984,category10
336i,title571,description101,category3
919i,title1060,description665,category17
1093i,title1198,description12,category34
395i,title730,description679,category22
381i,title945,description764,category42
1175i,title446,description417,category14
1224i,title63,description768,category35
294i,title826,description182,category15
764i,title416,description655,category13
1260i,title415,description448,category8
398i,title757,description323,category7
544i,title937,description823,category41
1113i,title159,description547,category9
865i,title579,description930,category48
1128i,title42,description1258,category19
280i,title1188,description1108,category47
1084i,title1113,description1077,category34
252i,title408,description1111,category39
